Steps,Policy/Entropy,Policy/Learning Rate,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Value Estimate,Policy/Extrinsic Reward
1000,1.4189384,0.00029999996,47.00000000082784,92.66666666666667,-0.19768018,46.99999996026357
2000,1.4189383,0.00029999996,88.26666666691501,173.5,-0.1810822,88.26666673024495
3000,1.4189383,0.00029999999,103.60000000298024,203.6,-0.1443259,103.6
4000,1.4189383,0.00029999999,103.90000000745059,204.2,-0.13425323,103.90000019073486
5000,1.4189384,0.00029999999,67.9833333355685,134.0,-0.19525416,67.98333358764648
6000,1.4189383,0.00029999996,64.03750000335276,126.0,-0.116035394,64.03749987483025
7000,1.4189384,0.00029999999,81.00000000425747,159.14285714285714,-0.12647867,80.99999993188041
8000,1.4189384,0.0003,73.2833333350718,144.0,-0.09732534,73.28333334128062
9000,1.4189383,0.00029999996,81.83333333581686,160.66666666666666,-0.16493654,81.83333337306976
10000,1.4189383,0.00029999996,84.51428571875606,166.0,-0.13057269,84.71666665871938
11000,1.4182637,0.00029999996,92.72500000335276,182.5,0.38176382,90.83999974727631
12000,1.4180514,0.00029999999,136.30000000447035,268.0,0.58383036,136.29999995231628
13000,1.4180514,0.00029999999,134.02500000223517,263.25,0.51099575,134.02499997615814
14000,1.4180515,0.00029999996,133.83333334326744,263.0,0.6437101,133.83333349227905
15000,1.4180514,0.00029999999,130.57500000484288,256.5,0.5930204,130.5750000178814
16000,1.4180515,0.00029999999,82.55714286225182,162.42857142857142,0.5988948,82.55714275155749
17000,1.4180515,0.00029999996,77.85000000397365,153.16666666666666,0.55045533,77.85000006357829
18000,1.4180515,0.0003,78.0857142880559,153.57142857142858,0.5985898,78.08571420397077
19000,1.4180514,0.00029999999,78.43333333606522,154.5,0.50105494,78.43333339691162
20000,1.4180515,0.00029999999,77.72857143197741,152.71428571428572,0.6245261,77.76666641235352
21000,1.4178652,0.00029999999,77.43333333979051,152.16666666666666,0.93634945,77.44285706111363
22000,1.4176528,0.00029999999,77.53333333755533,152.5,1.402367,77.53333330154419
23000,1.4176527,0.00029999996,77.80000000447035,153.14285714285714,1.3224577,77.80000005449567
24000,1.417653,0.00029999999,75.20000000546376,147.66666666666666,1.3332995,75.19999996821086
25000,1.4176527,0.00029999999,72.17142857504743,141.57142857142858,1.375905,72.17142854418073
26000,1.4176527,0.00029999999,72.37142857377019,142.14285714285714,1.4045297,72.37142876216343
27000,1.4176528,0.0003,73.15714285948447,143.71428571428572,1.4480172,73.15714304787772
28000,1.4176528,0.00029999999,65.50000000372529,128.75,1.490111,65.50000017881393
29000,1.4176527,0.00029999996,73.35714285927159,144.0,1.4678838,73.08333349227905
30000,1.4176527,0.0003,75.18333333606522,147.83333333333334,1.3252175,75.15714304787772
31000,1.4176394,0.00029999996,69.82857143240315,137.14285714285714,1.3974367,69.82857152393886
32000,1.4175854,0.00029999999,64.91250000614673,127.5,2.2408993,64.91249985713512
33000,1.4175854,0.00029999999,64.2500000083819,126.125,2.1678078,64.24999986588955
34000,1.4175854,0.00029999996,63.66250000707805,125.625,2.229742,63.66249961871654
35000,1.4175853,0.00029999996,40.84545455060222,80.18181818181819,2.2767754,40.84545441175049
36000,1.4175853,0.00029999999,65.16250000707805,127.75,2.2710338,65.16249998658895
37000,1.4175854,0.00029999999,65.9375000083819,129.25,2.1066666,65.88571424143655
38000,1.4175854,0.00029999999,66.71428572067192,130.85714285714286,2.1717625,66.66249999403954
39000,1.4175854,0.00029999999,66.88571429252625,131.0,2.2034438,66.88571432658604
40000,1.4175854,0.00029999999,66.95000000298023,131.125,2.2140405,66.95000004768372
41000,1.4175853,0.00029999999,67.70000000298023,132.57142857142858,2.1556613,67.70000004768372
42000,1.4180005,0.00029999999,68.45000000298023,134.125,3.0206146,68.44999998807907
43000,1.4180323,0.00029999996,69.20000000298023,135.57142857142858,3.1981807,69.20000001362392
44000,1.4180323,0.00029999999,69.88571428826877,137.0,3.3349159,69.88571425846645
45000,1.4180323,0.00029999999,70.61428571811744,138.42857142857142,3.098106,70.61428574153355
46000,1.4180323,0.00029999999,66.20000000391155,130.125,3.108354,66.59999997275216
47000,1.4180322,0.00029999996,64.01428572301354,126.0,3.2780886,63.937499669380486
48000,1.4180323,0.0003,64.737500006333,126.875,3.055057,64.73750000447035
49000,1.4180323,0.00029999999,65.42500000726432,128.25,2.9696655,65.4249999821186
50000,1.4180323,0.00029999999,65.85714286352906,129.14285714285714,2.91387,65.85714285714286
51000,1.4180323,0.00029999996,65.737500006333,128.875,3.4441733,65.73749996721745
52000,1.4179182,0.00029999996,66.51428572301354,130.42857142857142,3.7285607,66.5142857006618
53000,1.417862,0.00029999999,67.237500006333,131.875,4.4616585,67.23750001192093
54000,1.4178622,0.00029999999,68.01428572301354,133.42857142857142,4.0653505,68.01428576878139
55000,1.4178619,0.00029999996,68.71428572067192,134.85714285714286,4.1872873,68.71428578240531
56000,1.4178619,0.00029999996,69.38571429359061,136.14285714285714,4.326165,69.38571439470563
57000,1.417862,0.00029999996,70.16250000707805,137.75,4.0625453,70.10000010899135
58000,1.4178619,0.0003,70.42857143495765,138.28571428571428,4.210682,70.45000004768372
59000,1.417862,0.00029999999,68.77142857547317,135.0,4.521656,68.77142858505249
60000,1.417862,0.00029999999,69.50000000212874,136.28571428571428,4.1374526,69.5
61000,1.417862,0.00029999999,65.25000000372529,128.625,4.1372733,65.25
62000,1.4180683,0.00029999999,63.07500000204891,124.5,4.404402,63.075000047683716
63000,1.4183304,0.00029999999,59.737500003539026,118.0,5.2397676,59.73750019073486
64000,1.4183306,0.00029999999,53.52000000551343,105.6,5.1919403,53.9222223493788
65000,1.4183304,0.00029999996,50.400000002649094,99.44444444444444,5.4571843,50.35000038146973
66000,1.4183306,0.00029999999,50.41000000312924,99.1,5.692332,50.410000038146975
67000,1.4183306,0.00029999999,51.25000000298023,100.7,5.578328,51.25
68000,1.4183304,0.00029999999,52.13000000268221,102.4,5.605643,52.14444435967339
69000,1.4183304,0.00029999999,50.944444447755814,100.55555555555556,5.6644998,51.05000019073486
70000,1.4183306,0.00029999996,46.88181818479841,92.0,5.613682,46.88181799108332
71000,1.4183306,0.00029999999,47.75000000298023,93.7,5.64928,47.74999990463257
72000,1.4183679,0.00029999999,48.31818182089112,95.0,5.515603,48.25000009536743
73000,1.4186164,0.0003,49.35000000298023,97.1,6.1366997,49.31818181818182
74000,1.4186164,0.00029999999,50.35000000298023,99.1,6.4664125,50.27777777777778
75000,1.4186165,0.0003,51.35000000298023,101.1,6.47791,51.25
76000,1.4186167,0.00029999999,52.27777778108915,103.0,6.402945,52.25
77000,1.4186164,0.00029999996,53.22222222553359,104.88888888888889,6.4525356,53.22222222222222
78000,1.4186165,0.00029999999,54.150000002980235,106.7,6.277798,54.09999995761447
79000,1.4186165,0.00029999999,55.1000000031458,108.55555555555556,6.1666594,55.02222230699327
80000,1.4186165,0.00029999999,56.022222224209045,110.44444444444444,6.2141557,55.87777773539225
81000,1.4186164,0.00029999999,56.800000003539026,112.0,6.1537757,56.77777777777778
82000,1.4186165,0.00029999996,58.544444446762405,115.44444444444444,6.30429,58.65000005066395
83000,1.4188232,0.00029999999,58.67142857398306,115.85714285714286,6.5932403,58.55000038165599
84000,1.4188498,0.00029999999,None,None,6.6252756,None
85000,1.4188498,0.00029999999,None,None,6.5986896,None
86000,1.4188498,0.00029999999,None,None,6.532358,None
87000,1.4188498,0.00029999999,None,None,6.5984545,None
88000,1.4188498,0.00029999999,None,None,6.6284647,None
89000,1.4188498,0.00029999999,None,None,6.6876717,None
90000,1.4188498,0.00029999999,None,None,6.523247,None
91000,1.4188498,0.00029999999,None,None,6.591345,None
92000,1.4188498,0.00029999999,None,None,6.370531,None
93000,1.4186091,0.00029999999,None,None,7.4602637,None
94000,1.4184889,0.00029999999,None,None,8.0871105,None
95000,1.4184889,0.00029999999,None,None,8.305486,None
96000,1.4184889,0.00029999999,None,None,8.089363,None
97000,1.4184889,0.00029999999,None,None,8.36101,None
98000,1.4184889,0.00029999999,None,None,8.304065,None
99000,1.4184889,0.00029999999,None,None,8.062729,None
100000,1.4184889,0.00029999999,None,None,8.280813,None
101000,1.4184889,0.00029999999,None,None,8.116052,None
102000,1.4184889,0.00029999999,None,None,7.9145174,None
103000,1.4184219,0.00029999999,None,None,8.7509985,None
104000,1.4183102,0.00029999999,None,None,9.441793,None
105000,1.4183102,0.00029999999,None,None,9.964392,None
106000,1.4183102,0.00029999999,None,None,9.891859,None
107000,1.4183102,0.00029999999,None,None,10.029131,None
108000,1.4183102,0.00029999999,None,None,9.8934,None
109000,1.4183102,0.00029999999,None,None,10.082796,None
110000,1.4183102,0.00029999999,None,None,9.766771,None
111000,1.4183102,0.00029999999,None,None,9.764131,None
112000,1.4183102,0.00029999999,None,None,9.837779,None
113000,1.4182663,0.00029999999,None,None,9.677994,None
114000,1.4176084,0.00029999999,None,None,11.803323,None
115000,1.4176084,0.00029999999,None,None,11.593561,None
116000,1.4176084,0.00029999999,None,None,11.517341,None
117000,1.4176084,0.00029999999,None,None,12.056357,None
